B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,TP,TN
0.146050006,0.122100003,0.108350001,0.07525,0.074249998,0.057,0.05635,0.048549999,0.04775,0.0185,0.0195,0.01185,0.087 ,1.71 
0.148300007,0.1259,0.119000003,0.082699999,0.086400002,0.054900002,0.053800002,0.045499999,0.039299998,0.015699999,0.0142,0.0089,0.060 ,1.73 
0.150450006,0.128549993,0.122649997,0.090149999,0.090899996,0.059250001,0.057250001,0.049449999,0.043099999,0.0148,0.01725,0.01225,0.080 ,2.15 
0.151350006,0.1285,0.123000003,0.089050002,0.099699996,0.066200003,0.06295,0.053149998,0.047449999,0.017899999,0.0153,0.01035,0.076 ,2.18 
0.152349994,0.134849995,0.1294,0.0999,0.103100002,0.065099999,0.062600002,0.053800002,0.044349998,0.016249999,0.01485,0.0109,0.073 ,2.40 
0.156200007,0.136250004,0.129250005,0.101049997,0.103749998,0.074150003,0.07395,0.063600004,0.057700001,0.019300001,0.025350001,0.018300001,0.066 ,2.51 
0.172999993,0.154699996,0.146899998,0.123350002,0.118100002,0.080399998,0.079499997,0.0678,0.060550001,0.01805,0.0255,0.0184,0.074 ,3.29 
0.169400007,0.152099997,0.143199995,0.120250002,0.110950001,0.075649999,0.074249998,0.064099997,0.056400001,0.016550001,0.026699999,0.02165,0.108 ,3.70 
0.166050002,0.145899996,0.138999999,0.117550001,0.12545,0.099699996,0.09945,0.0858,0.076800004,0.02,0.028899999,0.02015,0.155 ,3.34 
0.162300006,0.143299997,0.1382,0.097900003,0.096799999,0.062399998,0.060600001,0.051199999,0.048999999,0.017200001,0.0229,0.0173,0.066 ,2.31 
0.154699996,0.135299996,0.125499994,0.085900001,0.076899998,0.0504,0.048999999,0.0405,0.039000001,0.0145,0.0144,0.0097,0.081 ,2.35 
0.152850002,0.129800007,0.118550003,0.091449998,0.087099999,0.060899999,0.059300002,0.052099999,0.046399999,0.0162,0.01935,0.0133,0.145 ,4.74 
0.154200003,0.130649999,0.1241,0.101499997,0.094499998,0.066699997,0.064900003,0.056699999,0.051150002,0.017650001,0.022949999,0.017349999,0.119 ,4.29 
0.162100002,0.141550004,0.133300006,0.109449998,0.102700002,0.065449998,0.062199999,0.0537,0.0482,0.0162,0.01725,0.0108,0.081 ,2.37 
0.156350002,0.142100006,0.136899993,0.110650003,0.113250002,0.089000002,0.098099999,0.080700003,0.079999998,0.0107,0.042599998,0.032499999,0.161 ,2.09 
0.170100003,0.157299995,0.154799998,0.133300006,0.133300006,0.106299996,0.114399999,0.092500001,0.092399999,0.011,0.041299999,0.033,0.159 ,1.59 
0.173099995,0.159199998,0.159050003,0.136299998,0.136999995,0.108649999,0.118950002,0.095449999,0.094800003,0.0104,0.043850001,0.035,0.177 ,2.01 
0.17475,0.153500006,0.155599996,0.13335,0.135499999,0.116899997,0.123599999,0.101000004,0.104549997,0.0114,0.06095,0.0502,0.141 ,1.61 
0.180500001,0.16945,0.165549994,0.149649993,0.140149996,0.108099997,0.115900002,0.096699998,0.095799997,0.0125,0.053399999,0.043299999,0.173 ,2.26 
0.175799996,0.160799995,0.157250002,0.135749996,0.135550007,0.111699998,0.120949998,0.098300003,0.100550003,0.01045,0.048799999,0.037,0.186 ,2.72 
0.179949999,0.167400002,0.166600004,0.143549994,0.134849995,0.101199999,0.108649999,0.08935,0.086599998,0.0087,0.045200001,0.03565,0.110 ,1.33 
0.179800004,0.168899998,0.168699995,0.150999993,0.143450007,0.106449999,0.112899996,0.091750003,0.091449998,0.0096,0.050250001,0.038449999,0.083 ,1.14 
0.161500007,0.138799995,0.130449995,0.105949998,0.11265,0.095100001,0.102349997,0.082599998,0.08185,0.00905,0.03675,0.02785,0.190 ,1.98 
0.179399997,0.167400002,0.170200005,0.145099998,0.138300002,0.102200001,0.1105,0.088299997,0.089500003,0.0088,0.0447,0.0352,0.183 ,2.41 
0.178299993,0.162300006,0.167799994,0.136700004,0.128099993,0.095399998,0.102899998,0.086999997,0.086499996,0.0096,0.0493,0.038699999,0.062 ,1.03 
0.160300002,0.140049994,0.136299998,0.111850001,0.125300005,0.10565,0.113949999,0.098399997,0.093050003,0.01045,0.04445,0.0352,0.388 ,4.06 
0.165000007,0.148849994,0.143350005,0.11795,0.132799998,0.112800002,0.123899996,0.095849998,0.102200001,0.01095,0.046799999,0.0374,0.283 ,3.41 

